Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score
Wii Sports,Wii,2006,Sports,Nintendo,82.54,76
Mario Kart Wii,Wii,2008,Racing,Nintendo,35.57,82
Wii Sports Resort,Wii,2009,Sports,Nintendo,32.78,80
New Super Mario Bros.,DS,2006,Platform,Nintendo,29.81,89
Wii Play,Wii,2006,Misc,Nintendo,28.92,58
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,28.38,87
Mario Kart DS,DS,2005,Racing,Nintendo,23.22,91
Wii Fit,Wii,2007,Sports,Nintendo,22.7,80
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,21.86,61
Wii Fit Plus,Wii,2009,Sports,Nintendo,21.79,80
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,21.12,97
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,20.81,95
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,20.15,77
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,16.3,97
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,16.15,95
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,15.29,77
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,14.98,95
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,14.77,88
Call of Duty: Black Ops,X360,2010,Shooter,Activision,14.67,87
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,13.79,83
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,13.69,83
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,13.48,94
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,13.36,97
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,13.32,88
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,13.1,97
Mario Kart 7,3DS,2011,Racing,Nintendo,13.04,85
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,12.87,93
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,12.64,88
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,12.13,86
Halo 3,X360,2007,Shooter,Microsoft Game Studios,12.12,94
Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,11.66,89
Super Mario Galaxy,Wii,2007,Platform,Nintendo,11.36,97
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,11.01,98
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,10.95,96
Super Mario 3D Land,3DS,2011,Platform,Nintendo,10.87,90
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,10.7,84
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,10.6,94
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,10.51,98
Call of Duty: Ghosts,X360,2013,Shooter,Activision,10.28,73
Just Dance 3,Wii,2011,Misc,Ubisoft,10.12,74
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,10.05,78
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,9.9,91
Halo 4,X360,2012,Shooter,Microsoft Game Studios,9.77,87
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,9.72,92
